,gene,r hsc,p adjusted hsc,r prog,p adjusted prog,GEP 22 (Cell cycle),Benjamini-Hochberg adjusted regression p of GEP 22 vs r hsc,Bonferroni adjusted regression p of GEP 22 vs r hsc,Benjamini-Hochberg adjusted regression p of GEP 22 vs r prog,Bonferroni adjusted regression p of GEP 22 vs r prog
33,CGGBP1,0.0383407746705325,0.0325612585067715,0.1556337022775746,3.622247945132296e-171,0.000880066,0.999775974942421,1.0,0.9831285273395207,1.0
34,CHRNA5,0.0379232255784705,0.03667007469468011,0.1612221773802508,8.397383375428629e-184,0.003562227,0.999775974942421,1.0,0.9831285273395207,1.0
35,CLK1,-0.0384598630072533,0.031651294142676534,0.0933613882575878,1.8391041470641073e-61,-0.000218524,0.999775974942421,1.0,0.9831285273395207,1.0
36,CLU,-0.0374442813963816,0.042135978828042986,-0.0178431120458879,0.006618101566190779,8.45e-05,0.999775974942421,1.0,0.6706754662861097,1.0
37,CNBP,-0.052942817838689,0.0001449998602048007,0.0473165765355748,2.8207036670228117e-16,-0.000955893,0.999775974942421,1.0,0.9831285273395207,1.0
38,CNPY3,-0.0374799299249676,0.041716519789436274,0.0541034624823959,4.521472571894202e-21,-0.000141178,0.999775974942421,1.0,0.9831285273395207,1.0
39,COX17,0.0412452829714597,0.013411694782066198,0.1803049832343369,1.439718981936509e-230,0.002217723,0.999775974942421,1.0,0.9831285273395207,1.0
40,COX7C,-0.0450914504919674,0.003434836212301089,0.0853512102358489,1.8798955903241835e-51,-0.000655477,0.999775974942421,1.0,0.9831285273395207,1.0
41,CREB3,-0.0371444442029199,0.04586609837096315,0.0289882159651295,1.499912037636217e-06,4.36e-05,0.999775974942421,1.0,0.9831285273395207,1.0
42,CSRNP1,-0.0373870867543598,0.04276847820049752,0.0426431140907364,2.366035416455434e-13,-0.001006088,0.999775974942421,1.0,0.9831285273395207,1.0
43,CST3,-0.047961396669453,0.0011592182911703657,-0.0456100015770375,3.558089991867922e-15,-0.000440201,0.999775974942421,1.0,0.6321915422022715,1.0
44,CTD.2090I13.1,-0.0407568980824796,0.01571727514437352,-0.0386731453140535,4.097390040806778e-11,-0.000469244,0.999775974942421,1.0,0.6961764874186491,1.0
45,CTSD,-0.0437183262539611,0.005630524604702288,-0.0351905265653726,2.526273392863011e-09,0.000198173,0.999775974942421,1.0,0.5737223777982486,1.0
46,DARS,-0.0390981712124844,0.026542147542184223,0.0537858505937735,7.832158231631296e-21,-0.000353177,0.999775974942421,1.0,0.9831285273395207,1.0
47,DDIT4,-0.037980621948709,0.036124498535067405,0.0435140103617354,7.130952879178513e-14,-0.0004515,0.999775974942421,1.0,0.9831285273395207,1.0
48,DHFR,0.0403167372888689,0.01817575155067812,0.16898713111762,3.5567916471439372e-202,0.001487691,0.999775974942421,1.0,0.9831285273395207,1.0
49,DHTKD1,-0.0395804372329885,0.02269027731527064,0.0297408137993178,7.379681799522506e-07,-0.000388469,0.999775974942421,1.0,0.9831285273395207,1.0
50,DLK1,-0.0370225037124824,0.047266028312333015,0.0231527779972987,0.00019952019958057205,-0.000298306,0.999775974942421,1.0,0.9831285273395207,1.0
51,DUSP1,-0.0607264299090712,4.0509052587689135e-06,0.0603332828607926,4.9814953691417553e-26,-0.000391856,0.999775974942421,1.0,0.9831285273395207,1.0
52,EEF1A1,-0.0551709480322217,5.352548314183619e-05,0.0770471611847648,5.0294559036726516e-42,-0.001297678,0.999775974942421,1.0,0.9831285273395207,1.0
53,EGFL7,-0.0412395425093919,0.013411694782066198,0.0786936946586857,8.14114910905525e-44,-9.91e-05,0.999775974942421,1.0,0.9831285273395207,1.0
54,EIF1,-0.0390602821015784,0.026700765339215806,0.1306126664729547,3.0773793445295042e-120,0.000684614,0.999775974942421,1.0,0.9831285273395207,1.0
55,EIF2S3,-0.0461992232263941,0.002276345724179568,0.073381280109887,3.5357142086894345e-38,-0.000256585,0.999775974942421,1.0,0.9831285273395207,1.0
56,EIF3D,-0.0413697964808586,0.012991787586122806,0.0462037377457218,1.4905533710508534e-15,-0.000652063,0.999775974942421,1.0,0.9895748851625324,1.0
57,EIF3E,-0.0426480360722437,0.008303399345787964,0.0243555171571751,7.982613528757492e-05,-0.001447974,0.999775974942421,1.0,0.9831285273395207,1.0
58,EIF4A2,-0.0435519219462779,0.005927621399171821,0.0669440212518559,6.899203395308252e-32,-0.00063563,0.999775974942421,1.0,0.9831285273395207,1.0
59,EIF4B,-0.0442832526843025,0.00460903279268766,0.0244012149945811,7.701063618942351e-05,-0.000789363,0.999775974942421,1.0,0.9831285273395207,1.0
60,FAM122B,0.0814902133955428,1.4535739158733439e-11,0.1474416517570576,1.856366221555106e-153,0.001831389,0.5519228771291212,1.0,0.9831285273395207,1.0
61,FAM210B,-0.0382122917980851,0.03368430773715644,-0.0392370024494732,2.0254370513093643e-11,-0.000394055,0.999775974942421,1.0,0.6706754662861097,1.0
62,FAM72A,0.041736717687535,0.011409232997999426,0.0337037142319013,1.3054256332369786e-08,0.000490498,0.8393840985908804,1.0,0.9831285273395207,1.0
63,FAU,-0.0509430179339083,0.00035217481679527136,0.1084316883149352,8.223627296042942e-83,-0.000290661,0.999775974942421,1.0,0.9831285273395207,1.0
64,FBL,-0.0412775727917255,0.013368266911377097,0.0255907590565587,2.965000854753249e-05,-0.000200494,0.999775974942421,1.0,0.9831285273395207,1.0
65,FCGRT,-0.0487797714009895,0.0008483536931974692,-0.0609143995069136,1.6093868236537236e-26,-0.000285897,0.999775974942421,1.0,0.5737223777982486,1.0
66,FEZF1.AS1,0.0389011822579245,0.028062457909102993,0.1700640462028528,8.655215758738945e-205,0.003402126,0.999775974942421,1.0,0.9831285273395207,1.0
67,FKBP1A,-0.0400289316833447,0.020015174292804232,0.1170687980258702,1.5950055036051813e-96,-1.04e-05,0.999775974942421,1.0,0.9831285273395207,1.0
68,FKBP1C,0.0598222864166508,6.223800297618505e-06,0.0229309678053645,0.0002353918448720146,0.000231689,0.3821702815055754,1.0,0.9831285273395207,1.0
69,FOS,-0.0618254705752597,2.355795614586844e-06,0.0334722557431554,1.6736107958926476e-08,-0.000365641,0.999775974942421,1.0,0.9831285273395207,1.0
70,FSIP2,-0.0494989709138999,0.0006490783149014674,0.0610882047750885,1.1457520187005774e-26,-0.000990824,0.999775974942421,1.0,0.9831285273395207,1.0
71,FTL,-0.0433458705797795,0.00634791769013257,-0.0693004778485938,4.0441435754665305e-34,-0.000301168,0.999775974942421,1.0,0.5004783293027582,1.0
72,FXYD5,-0.0484565688609383,0.0009645120077478399,0.0224247432130408,0.00034051673228824563,-0.000279539,0.999775974942421,1.0,0.9831285273395207,1.0
73,GALNT2,-0.0434372883749655,0.006161874634772421,0.0383601040145528,6.038407519882464e-11,-0.000247422,0.999775974942421,1.0,0.9831285273395207,1.0
74,GLTSCR2,-0.0387222559989276,0.029194153146268543,0.0492592182381878,1.38783674245128e-17,-0.000747474,0.999775974942421,1.0,0.9831285273395207,1.0
75,H1FX,0.0670043594851022,1.4760404608162056e-07,0.2191000646611011,0.0,0.001655801,0.8393840985908804,1.0,0.9831285273395207,1.0
76,H2AFZ,0.0495284966232872,0.0006465476913753382,0.3833417389538754,0.0,0.007298134,0.7848750998225628,1.0,0.9831285273395207,1.0
77,H3F3A,-0.0429556355038455,0.00735397218828118,0.2773757172635847,0.0,0.002417464,0.999775974942421,1.0,0.6706754662861097,1.0
78,HIST1H4C,0.0754748077699148,8.778362671203755e-10,0.4731675695730053,0.0,0.011485454,0.03300955966988859,0.16504779834944294,0.5737223777982486,1.0
79,HLA.A,-0.0369005646156156,0.049238371713504155,0.0179862103323701,0.006103020779079586,-0.00097129,0.999775974942421,1.0,0.9831285273395207,1.0
80,HLA.DPA1,-0.0555781179186355,4.5357217807641626e-05,0.0414311884059196,1.2054805680861465e-12,-0.001627758,0.999775974942421,1.0,0.9831285273395207,1.0
81,HLA.DPB1,-0.0453659971386611,0.0031548136542153145,0.0464206841792895,1.082164170280301e-15,-0.001888302,0.999775974942421,1.0,0.9831285273395207,1.0
82,HLA.DQB1,-0.0443860286652178,0.004434061209032805,0.0303473686778721,4.0938275225767283e-07,-0.000932726,0.999775974942421,1.0,0.9895748851625324,1.0
83,HLA.DRA,-0.0694803324040878,3.5999395660419506e-08,0.1017699577248763,5.591856754716318e-73,-0.002773258,0.999775974942421,1.0,0.34053502666474933,0.9873569261682847
84,HLA.DRB1,-0.0523567322999367,0.00018649361740315505,0.01674019107081,0.01215368481112999,-0.000724465,0.999775974942421,1.0,0.9831285273395207,1.0
85,HLA.E,-0.0565353835563106,2.966070810192712e-05,0.0345755407358901,5.032575254199139e-09,-0.001031663,0.999775974942421,1.0,0.9831285273395207,1.0
86,HMGB1,0.0782713260914258,1.3856597668430113e-10,0.4034054318825022,0.0,0.007822954,0.999775974942421,1.0,0.9831285273395207,1.0
87,HMGB2,0.1167282760891528,3.7303956324629286e-25,0.5937885710944709,0.0,0.012929653,0.061251217257299206,0.42875852080109444,0.9831285273395207,1.0
88,HMGN2,0.0876737266379259,1.2700878184487992e-13,0.4975827038718707,0.0,0.00981861,0.4722271125376871,1.0,0.9831285273395207,1.0
89,HMGN3.AS1,-0.0487761416212902,0.0008483536931974692,0.0772006460545171,3.437110245633688e-42,0.000213126,0.999775974942421,1.0,0.9831285273395207,1.0
