,gene,r hsc,p adjusted hsc,r prog,p adjusted prog,GEP 15 (DNA Replication),Benjamini-Hochberg adjusted regression p of GEP 15 vs r hsc,Bonferroni adjusted regression p of GEP 15 vs r hsc,Benjamini-Hochberg adjusted regression p of GEP 15 vs r prog,Bonferroni adjusted regression p of GEP 15 vs r prog
55,ABCE1,0.0754982266992083,1.1387968715443875e-11,0.1876321119860302,1.0687101571660137e-250,0.000653289,0.9999771431101689,1.0,0.9999471363027878,1.0
56,ABCF1,0.0786158442387652,1.3411553949238544e-12,0.1618667252919275,5.6194142042327684e-186,0.000635184,0.9999771431101689,1.0,0.9999471363027878,1.0
57,ABCF2,0.0346792310085906,0.003746414767027014,0.1044788821907567,1.6107082002398358e-77,0.000179753,0.9999771431101689,1.0,0.9999471363027878,1.0
58,ABCG1,0.0257354012200961,0.037009461153659384,0.022338419402099,0.00016040865534835914,-0.000171815,0.9999771431101689,1.0,0.9999471363027878,1.0
59,ABCG2,-0.0395356942188676,0.000805895387847823,-0.0414614070925535,5.292900589148962e-13,-0.000222099,0.9999771431101689,1.0,0.9999471363027878,1.0
60,ABCG4,-0.0749444499175157,1.6436021936416195e-11,-0.0393424285774013,8.303857896144974e-12,-0.000205467,0.9999771431101689,1.0,0.9999471363027878,1.0
61,ABCG5,-0.0297736184403171,0.014289243085613594,-0.0170684035289182,0.004417937406096963,-5.36e-05,0.9999771431101689,1.0,0.9999471363027878,1.0
62,ABHD1,-0.0273593317383489,0.02565610688106833,-0.0149890029520466,0.012913892327580077,-0.000330296,0.9999771431101689,1.0,0.9999471363027878,1.0
63,ABHD10,0.0785018124361631,1.4529520982192518e-12,0.1115187899338612,3.0854055159656764e-88,0.000259245,0.9999771431101689,1.0,0.9999471363027878,1.0
64,ABHD12,-0.0606252831456383,8.530006856806484e-08,-0.0258082443824361,1.120618347398896e-05,-0.000379926,0.9999771431101689,1.0,0.9999471363027878,1.0
65,ABHD15,0.0263088542059719,0.03262350532319464,0.0304461754252326,1.733919634320877e-07,-0.000177315,0.9999771431101689,1.0,0.9999471363027878,1.0
66,ABHD16A,-0.0307971231989985,0.010986150982753717,-0.0122899247352002,0.043021945680403774,-0.000148903,0.9999771431101689,1.0,0.9999471363027878,1.0
67,ABHD17B,0.0803162297891375,3.9938449942371253e-13,0.0746576359787549,5.440534563945667e-40,0.00013957,0.9999771431101689,1.0,0.9999471363027878,1.0
68,ABI1,0.0480731717136252,3.258111282481299e-05,0.0739000037529609,3.351319156069544e-39,-7.83e-05,0.9999771431101689,1.0,0.9999471363027878,1.0
69,ABI3,-0.1281261000190531,1.2624537464625025e-32,-0.0824489391579242,1.411221861652505e-48,-0.000669935,0.9999771431101689,1.0,0.9999471363027878,1.0
70,ABI3BP,-0.0817692575958714,1.4173501427536338e-13,-0.0658746726679868,2.435937204455841e-31,-0.000385265,0.9999771431101689,1.0,0.9999471363027878,1.0
71,ABLIM2,-0.0611241130831266,6.545879711373624e-08,-0.0334215694531418,8.303412169963652e-09,-0.000196908,0.9999771431101689,1.0,0.9999471363027878,1.0
72,ABLIM3,-0.043904977268494,0.0001693893392730728,-0.0409860770071525,9.955669689318012e-13,-0.000161543,0.9999771431101689,1.0,0.9999471363027878,1.0
73,ABO,-0.060860124061268,7.524836710078642e-08,-0.0173419616247404,0.0038063773810557023,-0.000613132,0.9999771431101689,1.0,0.9999471363027878,1.0
74,ABRA,-0.0533168074289958,3.236701219244028e-06,-0.027116464730452,3.7140058938881276e-06,-0.000128277,0.9999771431101689,1.0,0.9999471363027878,1.0
75,ABRACL,0.1524477836820846,3.655664097181419e-46,0.2075974519732585,6.681172377997273e-308,0.000834084,0.9999771431101689,1.0,0.9999471363027878,1.0
76,ABT1,0.0610651873548317,6.750598391729305e-08,0.1054886913847848,5.165743877809236e-79,0.000357959,0.9999771431101689,1.0,0.9999471363027878,1.0
77,ABTB1,-0.0520510564220246,5.775332281954899e-06,-0.0321049730607069,3.3076863181175204e-08,-0.000287668,0.9999771431101689,1.0,0.9999471363027878,1.0
78,AC000036.4,-0.0523535186398036,5.043222541169706e-06,-0.045929334022155,9.916079993155087e-16,-0.000384417,0.9999771431101689,1.0,0.9999471363027878,1.0
79,AC000120.7,0.0324286480197416,0.007101697474963485,0.0729082615381141,3.5042661721543807e-38,0.000161281,0.9999771431101689,1.0,0.9999471363027878,1.0
80,AC000123.2,-0.0376219957188346,0.0015130477889007642,-0.0194068236202693,0.0011322603987691084,-0.000134468,0.9999771431101689,1.0,0.9999471363027878,1.0
81,AC002044.4,0.0250502062716658,0.042859971680068984,0.019053789842417,0.001405915816465924,-1.31e-06,0.9999771431101689,1.0,0.9999471363027878,1.0
82,AC002059.10,-0.0446832938381162,0.00012574825576507962,-0.0287514410837638,8.646169026717833e-07,-0.00011607,0.9999771431101689,1.0,0.9999471363027878,1.0
83,AC002306.1,-0.0365719365049429,0.002107486568734657,-0.0210160194990838,0.0003997245848799179,-0.000148968,0.9999771431101689,1.0,0.9999471363027878,1.0
84,AC002310.12,0.0263798324649299,0.03209351452523071,0.0203819659782974,0.0006083418307875824,-1.34e-05,0.9999771431101689,1.0,0.9999471363027878,1.0
